	ANI	Aligned kmers	Total kmers	Query sample ID	Reference sample ID	Query hybrid contig ID	Reference hybrid contig ID	Alignment fraction
0	96.314	103	199	MGH193	MGH113	contig000002	contig000003	0.5175879396984925
0	96.314	103	199	MGH193	MGH113	contig000002	contig000003	0.5175879396984925
1	89.4458	10	199	MGH193	MGH113	contig000002	contig000004	0.050251256281407
1	89.4458	10	199	MGH193	MGH113	contig000002	contig000004	0.050251256281407
2	87.1871	2	199	MGH193	MGH193	contig000002	contig000005	0.0100502512562814
2	87.1871	2	199	MGH193	MGH193	contig000002	contig000005	0.0100502512562814
3	85.8209	5	199	MGH193	MGH113	contig000002	contig000005	0.0251256281407035
3	85.8209	5	199	MGH193	MGH113	contig000002	contig000005	0.0251256281407035
4	73.4024	1	199	MGH193	UCI105	contig000002	contig000009	0.0050251256281407
4	73.4024	1	199	MGH193	UCI105	contig000002	contig000009	0.0050251256281407
5	100.0	49	49	MGH193	MGH193	contig000003	contig000003	1.0
5	100.0	49	49	MGH193	MGH193	contig000003	contig000003	1.0
6	97.2995	26	49	MGH193	BIDMC82	contig000003	contig000004	0.5306122448979592
6	97.2995	26	49	MGH193	BIDMC82	contig000003	contig000004	0.5306122448979592
7	94.8373	29	49	MGH193	BIDMC19A	contig000003	contig000002	0.5918367346938775
7	94.8373	29	49	MGH193	BIDMC19A	contig000003	contig000002	0.5918367346938775
8	91.1767	31	49	MGH193	UCI187	contig000003	contig000003	0.6326530612244898
8	91.1767	31	49	MGH193	UCI187	contig000003	contig000003	0.6326530612244898
9	73.8147	1	49	MGH193	BWH50	contig000003	contig000005	0.0204081632653061
9	73.8147	1	49	MGH193	BWH50	contig000003	contig000005	0.0204081632653061
10	73.8147	1	49	MGH193	BIDMC82	contig000003	contig000007	0.0204081632653061
10	73.8147	1	49	MGH193	BIDMC82	contig000003	contig000007	0.0204081632653061
11	100.0	43	43	MGH193	MGH193	contig000004	contig000004	1.0
11	100.0	43	43	MGH193	MGH193	contig000004	contig000004	1.0
12	99.9974	43	43	MGH193	BIDMC100	contig000004	contig000004	1.0
12	99.9974	43	43	MGH193	BIDMC100	contig000004	contig000004	1.0
13	73.5823	1	43	MGH193	MGH121	contig000004	contig000009	0.0232558139534883
